Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10004.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10016.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1003.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1005.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1008.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1009.JPEG, Bits: 8, Size: (128, 93), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10098.JPEG, Bits: 8, Size: (334, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10194.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_102.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1020.JPEG, Bits: 8, Size: (500, 334), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1021.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1024.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1027.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1029.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1031.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10320.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10324.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1033.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10335.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10347.JPEG, Bits: 8, Size: (330, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1041.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
